reynolds,n,mach,t_end,steps,tau,runtime_median_seconds,runtime_min_seconds,runtime_max_seconds,relative_l2,vortex_relative_l2,kinetic_energy_error,mass_relative_drift,divergence_l2
100,16,0.05,0.25,50,0.5009726833629664,0.06665745300006165,0.06267049699999916,0.07064440900012414,0.011957115743938838,0.02077959691906323,0.009798732628749862,5.551115123125783e-15,0.0019956619751188404
100,16,0.025,0.25,99,0.5004912542237204,0.12011382099990442,0.11504125899955397,0.12518638300025486,0.007279407025784179,0.012650470819626272,0.0034920483267051328,1.099120794378905e-14,0.0004806733560809481
100,32,0.1,0.25,50,0.5038907334518657,0.10817360950022703,0.10772555600033229,0.10862166300012177,0.00868492058723438,0.015093033549356217,0.002084508879082403,5.551115123125783e-15,0.01969505940098799
100,32,0.05,0.25,99,0.5019650168948817,0.22240286150008615,0.2146635230001266,0.2301422000000457,0.0044216417359721144,0.0076841217365134435,0.0035217009009074207,1.1102230246251565e-14,0.0038105949127570015
100,32,0.025,0.25,198,0.5009825084474409,0.40796902549982406,0.4014348139999129,0.41450323699973524,0.005346819688624948,0.009291936308708686,0.00440407145477173,2.19824158875781e-14,0.00346480786673242
100,64,0.1,0.25,99,0.5078600675795268,0.5225103404995934,0.5167325809998147,0.5282880999993722,0.008825890515099358,0.015338017234508599,0.0008553607355292758,1.0880185641326534e-14,0.021288195368062722
100,64,0.05,0.25,198,0.5039300337897634,1.0860819365002499,1.0387049130004016,1.1334589600000982,0.0021192730302466672,0.003682965045503594,0.0008412254521602547,2.1760371282653068e-14,0.004555144859262494
100,64,0.025,0.25,395,0.5019699916211978,2.148920009500216,2.002556704000199,2.2952833150002334,0.0017725964295866883,0.00308049533815489,0.0007640307719801731,4.3853809472693683e-14,0.0037102485607679566
400,16,0.1,0.25,25,0.5004863416814832,0.02904538050006522,0.028793075000066892,0.02929768600006355,0.027043743869189688,0.04688020523244754,0.021541639527001832,2.886579864025407e-15,0.018882707944545402
400,16,0.05,0.25,50,0.5002431708407417,0.0625087719995463,0.059388169999692764,0.06562937399939983,0.011558014947673513,0.020035765589539498,0.009447205872021192,5.773159728050814e-15,0.0019439927864603004
400,16,0.025,0.25,99,0.5001228135559301,0.11888028449993726,0.11428731799969682,0.1234732510001777,0.007113111622609885,0.012330546181853443,0.0021256936440241514,1.099120794378905e-14,0.0004770616694221059
400,32,0.1,0.25,50,0.5009726833629664,0.1289666634997957,0.09645206499953929,0.16148126200005208,0.008500216454906477,0.01473508600930938,0.0012235932933477578,5.551115123125783e-15,0.019702975374461158
400,32,0.05,0.25,99,0.5004912542237204,0.19339956399971925,0.19000342899926181,0.19679569900017668,0.004697124755917272,0.008142444094461453,0.0037826115792094495,1.099120794378905e-14,0.0039330716916700535
400,32,0.025,0.25,198,0.5002456271118602,0.427680747499835,0.3974670279994825,0.45789446700018743,0.00648463670908385,0.011241087818689759,0.005407500056463066,2.19824158875781e-14,0.003513223820169921
400,64,0.1,0.25,99,0.5019650168948817,0.5589505990005819,0.5235425580003721,0.5943586400007916,0.008931244255365947,0.015482270712883332,0.0011066777083708068,1.1102230246251565e-14,0.021478894753235295
400,64,0.05,0.25,198,0.5009825084474409,1.0088240509999196,1.0038289869999062,1.013819114999933,0.0020839181877238045,0.0036124625643797485,0.00077838056297308,2.19824158875781e-14,0.004553755735726332
400,64,0.025,0.25,395,0.5004924979052995,2.177117062000434,2.017878952000501,2.336355172000367,0.0016547319218503727,0.0028684701525148767,0.0004844158765322515,4.39648317751562e-14,0.0037325741836997575
1000,16,0.1,0.25,25,0.5001945366725933,0.029191869999976916,0.029005617000620987,0.029378122999332845,0.027360469684891548,0.047405525454120426,0.02182333855244567,2.886579864025407e-15,0.018945617933657902
1000,16,0.05,0.25,50,0.5000972683362966,0.06774950750013886,0.062117872000271745,0.07338114300000598,0.01147171670920328,0.01987622159720795,0.00936874035033175,5.662137425588298e-15,0.0019335126245449172
1000,16,0.025,0.25,99,0.500049125422372,0.11472367299984398,0.11468960999991396,0.11475773599977401,0.007131866452142742,0.0123568740056803,0.0018250754551757398,1.1213252548714081e-14,0.0004765825433343261
1000,32,0.1,0.25,50,0.5003890733451866,0.09725859050058716,0.09686469500047679,0.09765248600069754,0.008469088779086099,0.014673783320023556,0.000979874183541951,5.662137425588298e-15,0.019694272062920733
1000,32,0.05,0.25,99,0.5001965016894881,0.20752435899976263,0.19856310499926622,0.21648561300025904,0.004773835330661068,0.008271282433663736,0.0038536932867322404,1.1102230246251565e-14,0.003966041816096309
1000,32,0.025,0.25,198,0.5000982508447441,0.40773711149995506,0.4071091460000389,0.40836507699987123,0.006807611385617909,0.011795060484684403,0.00568647956667423,2.19824158875781e-14,0.0035247628379589903
1000,64,0.1,0.25,99,0.5007860067579527,0.5117300640004032,0.5065098940003736,0.5169502340004328,0.00898281073003724,0.015563872536423324,0.0012683544151081971,1.099120794378905e-14,0.021536428006246167
1000,64,0.05,0.25,198,0.5003930033789763,1.0662631400000464,1.0280376099999557,1.104488670000137,0.00205782453079029,0.0035654451220316907,0.0007335902451320875,2.19824158875781e-14,0.004540418582383834
1000,64,0.025,0.25,395,0.5001969991621198,2.1484570150000764,1.9332140360002086,2.363699993999944,0.0016105832884736498,0.0027905422661614375,0.00029713627412020216,4.3853809472693683e-14,0.003734385972045203
