reynolds,n,mach,step,time,relative_l2,vortex_relative_l2,kinetic_energy,exact_kinetic_energy,mass_relative_drift,divergence_l2,pressure_relative_l2,momentum_drift,fourier_mode_relative_error,fourier_phase_error_radians,minimum_population,negative_population_count,runtime_seconds,steps,tau,memory_bytes,runtime_median_seconds,runtime_min_seconds,runtime_max_seconds
400,32,0.025,789,0.9999999999999999,0.004420835250578733,0.007682720191044248,0.7443144465005287,0.7475124584372921,8.770761894538737e-14,0.004289246700615168,0.5587717752369197,1.3341822868717683e-08,0.00701993835225372,0.0026988964054943665,0.026719337494770526,0,1.5972793500004627,789,0.5002465610552513,73728,1.6361179639998227,1.5465991979999671,1.7314984910008206
400,32,0.0125,1578,0.9999999999999999,0.003965805608390129,0.0068919498453028204,0.7442392893665237,0.7475124584372921,1.7563728249569976e-13,0.002480627955451402,0.31272822035292114,1.3397558396026517e-08,0.006658848141374195,0.0004529664044463644,0.027246938658419283,0,3.10896892799974,1578,0.5001232805276257,73728,3.1399770469997748,3.048504329000025,3.3194281229998523
1000,32,0.1,198,1.0,0.007030544161448328,0.012193517701640675,0.7456713086838296,0.7490019973359978,2.19824158875781e-14,0.013892987065030735,0.7567700718048721,5.851665230149906e-08,0.006730317208804442,0.0009911315482078464,0.023731360325461224,0,0.43072102299993276,198,0.5003930033789763,73728,0.40066019900041283,0.36505878300067707,0.43072102299993276
1000,32,0.05,395,1.0,0.0056693558270436446,0.00983272262380831,0.7456866760113471,0.7490019973359978,4.39648317751562e-14,0.009887803998329255,0.36369979014503134,2.2823509970848487e-08,0.006650117746827377,0.00018357713418781785,0.025688618321364806,0,0.7833883830007835,395,0.5001969991621198,73728,0.7772934590002478,0.7566770009998436,0.7979858290000266
1000,32,0.025,789,0.9999999999999999,0.004383896442398242,0.007603269056421164,0.7457736736739264,0.7490019973359978,8.759659664292485e-14,0.004318341299140652,0.558882516027795,1.2957150241632768e-08,0.006925662643427713,0.002384238123439353,0.02671631988598336,0,1.8783095660000981,789,0.5000986244221005,73728,1.5617618119995313,1.494833361000019,1.8783095660000981
1000,32,0.0125,1578,0.9999999999999999,0.004089692684737237,0.007093012859383116,0.7456511061063327,0.7490019973359978,1.745270594710746e-13,0.002495858661800052,0.31238686765529516,1.3492588157859734e-08,0.006867127422790001,0.0011815549118190383,0.02724648842777047,0,3.121829512999284,1578,0.5000493122110503,73728,3.121829512999284,2.9607694520000223,3.714793097999973
2000,32,0.1,198,1.0,0.007103203142396452,0.01231131628147762,0.7461397276319679,0.7495004996668333,2.1871393585115584e-14,0.01393080116618438,0.7567588220680523,5.7726639024480164e-08,0.006898147934908977,0.0016977588639299768,0.023730242969739967,0,0.4013559390004957,198,0.5001965016894881,73728,0.4013559390004957,0.3609909160004463,0.42334603400013293
2000,32,0.05,395,1.0,0.005708944828909657,0.009894779019159597,0.7461588418221508,0.7495004996668333,4.39648317751562e-14,0.009911211111387262,0.36366442783008296,2.2434956892247812e-08,0.006719907796412322,0.0007539758007695241,0.025686921257334044,0,0.75971791900065,395,0.5000984995810599,73728,0.7618938609994075,0.740778377999959,0.807629777999864
2000,32,0.025,789,0.9999999999999999,0.004368197012034317,0.007570986485516232,0.7462607567453701,0.7495004996668333,8.748557434046234e-14,0.004328506215948943,0.5589297000692703,1.277180583514375e-08,0.0068874211539147545,0.002242604070422871,0.026715141182662987,0,1.5610525019992565,789,0.5000493122110503,73728,1.5610525019992565,1.4866956550004033,1.6241430050004055
2000,32,0.0125,1578,0.9999999999999999,0.004212389097423943,0.007300939229725851,0.7461171666470556,0.7495004996668333,1.751931932858497e-13,0.002500996118015915,0.31224071400289266,1.352623857364685e-08,0.0070820590583370235,0.0019174031879627407,0.027246377587988174,0,3.4522073939997426,1578,0.5000246561055252,73728,3.166388790000383,3.0347129140000106,3.4522073939997426
5000,32,0.1,198,1.0,0.0071645060027145414,0.012412598433965166,0.7464195503708593,0.749800079978671,2.19824158875781e-14,0.013954486903020195,0.7567509066056284,5.7202443559667415e-08,0.007049581517505206,0.0021770809986882966,0.02372963406391998,0,0.42374578599992674,198,0.5000786006757952,73728,0.39064406899979076,0.366868293999687,0.42374578599992674
5000,32,0.05,395,1.0,0.005745805811419748,0.009954682177623176,0.7464411342074662,0.749800079978671,4.39648317751562e-14,0.009925586148317907,0.36364061934563735,2.2166739555018632e-08,0.006793837427799506,0.0011408972288360353,0.025685848560932985,0,0.764405490000172,395,0.500039399832424,73728,0.764146697999422,0.7346473690004132,0.7870078530004321
5000,32,0.025,789,0.9999999999999999,0.004358064454983026,0.0075504024992854605,0.7465530910903633,0.749800079978671,8.748557434046234e-14,0.004334751932459519,0.5589611163077925,1.2643272873091863e-08,0.0068630012591390874,0.0021465315591373546,0.026714381793237568,0,1.5967174520001208,789,0.5000197248844201,73728,1.5275829519996478,1.4462119829995572,1.7668641139998726
5000,32,0.0125,1578,0.9999999999999999,0.0043171987218830025,0.0074796020931600414,0.7463953622411921,0.749800079978671,1.751931932858497e-13,0.0025040958725403924,0.31214323565466107,1.3546998967051145e-08,0.007266399492468066,0.0024165792495760563,0.027246322974153865,0,3.1289035099998728,1578,0.50000986244221,73728,3.5284640399995624,3.1289035099998728,4.063570173000699
