omega,speed,density_shift,requested_steps,stable,relative_error,minimum_population,max_state_norm
1.8,0.1,0.02,1000,True,0.0004589566703382844,0.016995863333328337,0.5063195727038409
1.8,0.2,-0.02,50,True,0.0018711755893748518,0.010948345569783819,0.47819795656512765
1.8,0.2,-0.02,200,True,0.0018712022960533608,0.010948342222220887,0.47819795656512765
1.8,0.2,-0.02,1000,True,0.0018712022959830696,0.010948342222215735,0.47819795656512765
1.8,0.2,0.0,50,True,8.06208423941435e-15,0.011411111111110851,0.487007310006739
1.8,0.2,0.0,200,True,3.645774432118424e-14,0.011411111111109932,0.487007310006739
1.8,0.2,0.0,1000,True,1.8636010088350355e-13,0.011411111111105432,0.487007310006739
1.8,0.2,0.02,50,True,0.0018711755893837452,0.011883449849135991,0.4967474562068738
1.8,0.2,0.02,200,True,0.0018712022960883738,0.011883453333332128,0.4967474562068738
1.8,0.2,0.02,1000,True,0.0018712022961611683,0.011883453333327122,0.4967474562068738
1.8,0.3,-0.02,50,True,0.004303617057380636,0.011430999754236212,0.4686163188251775
1.8,0.3,-0.02,200,True,0.004303678481530075,0.011430992222221173,0.4686163188251775
1.8,0.3,-0.02,1000,True,0.004303678481510456,0.011430992222216774,0.4686163188251775
1.8,0.3,0.0,50,True,5.5330327074930294e-15,0.012202777777777535,0.4764298033288849
1.8,0.3,0.0,200,True,2.1528609398666076e-14,0.012202777777776688,0.4764298033288849
1.8,0.3,0.0,1000,True,1.2918218918623233e-13,0.012202777777772518,0.4764298033288849
1.8,0.3,0.02,50,True,0.004303617057382549,0.01299609549388965,0.48595839939546265
1.8,0.3,0.02,200,True,0.004303678481537513,0.012996103333332142,0.48595839939546265
1.8,0.3,0.02,1000,True,0.004303678481550805,0.012996103333327395,0.48595839939546265
1.95,0.03,-0.02,50,True,3.7877979266011735e-05,0.023316215983940097,0.4896979396480087
1.95,0.03,-0.02,200,True,4.1034012615343395e-05,0.02331581010720505,0.4896979396480087
1.95,0.03,-0.02,1000,True,4.103545094421442e-05,0.0233158099222189,0.4896979396480087
1.95,0.03,0.0,50,True,6.600703438171499e-15,0.023797027777777605,0.49966568927208715
1.95,0.03,0.0,200,True,2.595633071278834e-14,0.0237970277777771,0.49966568927208715
1.95,0.03,0.0,1000,True,1.3262917612243965e-13,0.0237970277777745,0.49966568927208715
1.95,0.03,0.02,50,True,3.787797927294128e-05,0.02427803839766743,0.5096590030575289
1.95,0.03,0.02,200,True,4.103401264994661e-05,0.024278460840798894,0.5096590030575289
1.95,0.03,0.02,1000,True,4.103545112436957e-05,0.02427846103332998,0.5096590030575289
1.95,0.1,-0.02,50,True,0.0004236422605737907,0.016216597352422403,0.4867408371799325
1.95,0.1,-0.02,200,True,0.0004589405825493994,0.016212087610926563,0.4867408371799325
1.95,0.1,-0.02,1000,True,0.0004589566701378468,0.016212085555553174,0.4867408371799325
1.95,0.1,0.0,50,True,5.195994139119596e-15,0.01660277777777762,0.496391737944942
1.95,0.1,0.0,200,True,2.372739550372338e-14,0.01660277777777729,0.496391737944942
1.95,0.1,0.0,1000,True,1.2408052936423118e-13,0.016602777777775066,0.496391737944942
1.95,0.1,0.02,50,True,0.0004236422605812509,0.016991167381492082,0.5063195727038409
1.95,0.1,0.02,200,True,0.00045894058258141445,0.01699586119406868,0.5063195727038409
1.95,0.1,0.02,1000,True,0.0004589566703003511,0.016995863333330818,0.5063195727038409
1.95,0.2,-0.02,50,True,0.0017272226816612496,0.010966389409690025,0.47827568474463183
1.95,0.2,-0.02,200,True,0.001871136705432324,0.01094835044370782,0.47827568474463183
1.95,0.2,-0.02,1000,True,0.0018712022960201814,0.010948342222219899,0.47827568474463183
1.95,0.2,0.0,50,True,3.598607429550076e-15,0.011411111111111032,0.487007310006739
1.95,0.2,0.0,200,True,1.8920545962432218e-14,0.01141111111111056,0.487007310006739
1.95,0.2,0.0,1000,True,1.0226849702465843e-13,0.011411111111108284,0.487007310006739
1.95,0.2,0.02,50,True,0.0017272226816646015,0.011864669525968697,0.4967474562068738
1.95,0.2,0.02,200,True,0.0018711367054518881,0.011883444776275887,0.4967474562068738
1.95,0.2,0.02,1000,True,0.0018712022961243923,0.011883453333330529,0.4967474562068738
1.95,0.3,-0.02,50,True,0.003972532047174242,0.01147159839402482,0.4687602212521393
1.95,0.3,-0.02,200,True,0.004303527626128008,0.011431010720565044,0.4687602212521393
1.95,0.3,-0.02,1000,True,0.004303678481527536,0.011430992222218245,0.4687602212521393
1.95,0.3,0.0,50,True,2.799277911259447e-15,0.012202777777777597,0.4764298033288849
1.95,0.3,0.0,200,True,1.6371379491987548e-14,0.012202777777776827,0.4764298033288849
1.95,0.3,0.0,1000,True,8.305871965022639e-14,0.012202777777773392,0.4764298033288849
1.95,0.3,0.02,50,True,0.003972532047172423,0.01295383976676285,0.48595839939546265
1.95,0.3,0.02,200,True,0.004303527626129324,0.012996084079954458,0.48595839939546265
1.95,0.3,0.02,1000,True,0.004303678481543993,0.012996103333329019,0.48595839939546265
1.995,0.03,-0.02,50,True,9.09704421332762e-06,0.023319917311079626,0.48969852961145066
1.995,0.03,-0.02,200,True,2.5977171313429045e-05,0.02331774646873476,0.48969852961145066
1.995,0.03,-0.02,1000,True,4.076240243709161e-05,0.023315845037210584,0.48969852961145066
1.995,0.03,0.0,50,True,3.3694543802127325e-15,0.02379702777777784,0.4996656892720874
1.995,0.03,0.0,200,True,4.086582410002366e-15,0.02379702777777779,0.4996656892720877
1.995,0.03,0.0,1000,True,6.852841378962044e-15,0.02379702777777795,0.49966568927208904
1.995,0.03,0.02,50,True,9.097044207471742e-06,0.02427418599595105,0.5096590030575289
1.995,0.03,0.02,200,True,2.5977171306991733e-05,0.024276445444105826,0.5096590030575289
1.995,0.03,0.02,1000,True,4.076240242727306e-05,0.024278424485080188,0.5096590030575289
1.995,0.1,-0.02,50,True,0.00010174493063908428,0.016257723209526856,0.48674723070135567
1.995,0.1,-0.02,200,True,0.0002905389302508211,0.016233602739028765,0.48674723070135567
1.995,0.1,-0.02,1000,True,0.0004559027869580444,0.016212475722093035,0.48674723070135567
1.995,0.1,0.0,50,True,2.5809666228145232e-15,0.016602777777777755,0.49639173794494257
1.995,0.1,0.0,200,True,3.025097478914456e-15,0.01660277777777778,0.49639173794494257
1.995,0.1,0.0,1000,True,4.2163927291481795e-15,0.01660277777777789,0.49639173794494307
1.995,0.1,0.02,50,True,0.00010174493063246303,0.01694836291797547,0.5063195727038409
1.995,0.1,0.02,200,True,0.00029053893024441255,0.016973467897473463,0.5063195727038409
1.995,0.1,0.02,1000,True,0.00045590278695044085,0.01699545724163124,0.5063195727038409
1.995,0.2,-0.02,50,True,0.0004148220522253391,0.011130892838107542,0.47829900805147013
1.995,0.2,-0.02,200,True,0.0011845499774983496,0.011034410956115404,0.47829900805147013
1.995,0.2,-0.02,1000,True,0.0018587513747975073,0.010949902888372907,0.47829900805147013
1.995,0.2,0.0,50,True,4.911372266178982e-15,0.011411111111111157,0.4870073100067392
1.995,0.2,0.0,200,True,5.567772538719742e-15,0.01141111111111116,0.4870073100067397
1.995,0.2,0.0,1000,True,1.0474440767644279e-14,0.011411111111111337,0.48700731000674186
1.995,0.2,0.02,50,True,0.000414822052222097,0.01169345167190176,0.4967474562068738
1.995,0.2,0.02,200,True,0.001184549977492945,0.011793871589893673,0.4967474562068738
1.995,0.2,0.02,1000,True,0.0018587513747767815,0.01188182896652433,0.4967474562068738
1.995,0.3,-0.02,50,True,0.0009540714777725399,0.01184173110796407,0.46880342115490165
1.995,0.3,-0.02,200,True,0.00272441000054627,0.011624646873481893,0.46880342115490165
1.995,0.3,-0.02,1000,True,0.004275041940165267,0.011434503721061098,0.46880342115490165
1.995,0.3,0.0,50,True,7.126667611290746e-15,0.012202777777777847,0.4764298033288857
1.995,0.3,0.0,200,True,1.0701222881536185e-14,0.012202777777777993,0.47642980332888735
1.995,0.3,0.0,1000,True,3.168920186710886e-14,0.012202777777778992,0.4764298033288954
1.995,0.3,0.02,50,True,0.0009540714777683451,0.01256859959511223,0.48595839939546265
1.995,0.3,0.02,200,True,0.0027244100005349653,0.012794544410594112,0.48595839939546265
1.995,0.3,0.02,1000,True,0.004275041940121734,0.01299244850801308,0.48595839939546265
